,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,okpdtr_name,okz,okz_subgroup,description
53,109788.0,25300.0,10,6,19,12,52678.8888888889,3108,Аппаратчик стерилизации консервов,8160,81,Операторы аппаратчики и машинисты установок электр
54,110179.0,38750.0,8,6,47,24,53140.22222222221,3125,Аппаратчик термической обработки мясопродуктов,8160,81,Операторы аппаратчики и машинисты установок электр
55,110361.0,46666.666666666664,3,3,43,13,56738.856704865495,3135,Аппаратчик углеобогащения,8112,81,Операторы аппаратчики и машинисты установок по обр
56,110450.0,25000.0,1,1,2,2,60150.0,3140,Аппаратчик установки нейтрального газа,3135,31,Техники и операторы оптического и электронного обо
57,110616.0,26428.571428571428,7,2,63,17,50554.17647058824,3149,Аппаратчик фильтрации,3133,31,Техники по обслуживанию медицинского оборудования
58,110677.0,27000.0,1,1,85,9,61065.666666666664,3152,Аппаратчик формования химического волокна,8131,81,Операторы печей отжига стекла и стеклоизделий и об
59,110785.0,23780.978723404256,94,60,476,250,49352.3002743265,3157,Аппаратчик химводоочистки,3132,31,"Техники и операторы аппаратуры для радио-, телевещ"
60,110792.0,25500.0,4,4,39,25,52215.89333333333,3158,Аппаратчик химводоочистки электростанции,3132,31,"Техники и операторы аппаратуры для радио-, телевещ"
61,110817.0,15000.0,1,1,2,2,56939.0,3159,Аппаратчик химической обработки технического сырья,8160,81,Операторы аппаратчики и машинисты установок электр
62,110855.0,20000.0,1,1,16,15,50617.55555555555,3161,Аппаратчик химической чистки,8154,81,Аппаратчики (операторы) перегонных аппаратов и реа
63,111082.0,30000.0,1,1,13,9,52559.629629629635,3172,Аппаратчик электролиза,3133,31,Техники по обслуживанию медицинского оборудования
64,111222.0,50199.95,20,15,9470,467,59163.33709007394,3246,Арматурщик,7111,71,Горнорабочие и рабочие других профессий по добыче
65,111237.0,12000.0,1,1,12,2,58912.33333333333,3247,Арматурщик железобетонных судов,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
