,okz_subgroup,year,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
96,42,2019,21605.63774733638,657,423,6253,2363,8535.370655473971,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
97,43,2019,23225.496,125,68,506,256,10630.585362782964,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
98,44,2019,22726.58823529412,85,41,139,95,7984.979488802309,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
99,41,2020,27657.978455284552,2460,2190,1693,1099,9976.74726264819,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
100,42,2020,26377.95423340961,2185,2049,6416,2229,9290.554557597574,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
101,43,2020,26199.04895104895,143,129,478,297,12240.345166202673,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
102,44,2020,23456.08947368421,190,163,140,112,9364.009387823387,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
103,41,2021,28106.10649627263,939,868,1605,1068,10570.08392471613,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
104,42,2021,28225.448412698413,756,695,8208,2716,9794.287316533098,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
105,43,2021,30217.391304347828,92,69,426,278,12808.382564289348,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
106,44,2021,26000.548780487807,82,73,136,93,9898.871520819563,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
107,51,2016,20994.402985074626,268,139,2,1,16766.75,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
108,54,2016,20362.71829405163,891,514,20,4,18392.5,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
109,51,2017,21028.62450199203,1004,562,1775,595,7492.081882532892,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
110,52,2017,17115.965401785714,2688,1755,1914,490,8554.150629831258,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
111,53,2017,14953.257763975154,322,170,221,97,5834.369086971334,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
112,54,2017,21974.484903381643,3312,1725,2770,420,8019.023493415792,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
113,51,2018,23000.93178893179,777,441,16275,4924,8310.258790326636,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
114,52,2018,19128.409245122984,2358,1441,12664,4458,8856.305347535495,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
115,53,2018,19285.851020408165,490,294,1494,832,7035.854337280428,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
116,54,2018,21487.33631840796,3015,1680,20387,3416,8396.625162845501,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
117,51,2019,21731.95618556701,776,522,14562,4342,8880.69700451909,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
118,52,2019,19117.36348478533,2399,1877,14258,4233,9551.073103013963,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
119,53,2019,18778.872909698995,299,195,1653,755,7592.425837325956,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
120,54,2019,20425.05166880616,3116,2162,17422,3364,9104.568591106367,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
121,51,2020,29377.091517221746,7026,6541,13387,4143,9418.077181275661,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
122,52,2020,24736.297582550134,19897,18743,13328,4075,10012.571182979727,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
123,53,2020,23442.667588495577,1808,1698,1536,782,7977.941505346671,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
124,54,2020,26829.936230182033,8515,8014,19173,3369,9892.790424175008,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
125,51,2021,30140.745942131263,1417,1348,13031,4296,10105.163941321689,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
126,52,2021,25414.407090221073,5021,4762,15445,4304,11098.48395396769,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
127,53,2021,23519.389830508473,649,620,1868,886,8702.990406320541,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
128,54,2021,26175.498713918263,3499,3351,14176,3166,10131.659643671668,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
129,71,2016,30304.969155844155,1232,675,175,14,18002.464285714286,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
130,72,2016,32535.715968586388,764,454,91,15,28745.633333333335,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
131,75,2016,22827.385159010602,283,146,14,5,13172.75,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
132,71,2017,31305.90740310977,4309,2391,14707,1849,11322.327211029558,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
133,72,2017,33217.25939119171,3088,1870,4308,1339,13210.53890018051,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
134,73,2017,22649.161971830985,142,76,326,83,10247.882530120482,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
135,74,2017,33420.18911917099,772,465,951,243,12405.512163559166,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
